嗚呼,ああ
伴う,ともなう
共働き,ともばたらき
ドライ,ドライ,JLPT N1,"[Na-adjective, Noun] 1. dry (esp. as in not wet or as in dry humour) [Wikipedia definition] 2. Dry"
ドライクリーニング,ドライクリーニング,JLPT N1,[Noun] 1. dry cleaning | Other forms: ドライ・クリーニング
ドライバー,ドライバー,JLPT N1,[Noun] 1. driver (of a vehicle) 2. screwdriver {Abbreviation} 3. driver (golf) 4. driver (device driver) {Computer terminology} [Wikipedia definition] 5. Driver | Other forms: ドライバ
ドライブイン,ドライブイン,JLPT N1,"[Noun, Noun - used as a prefix] 1. drive-in (bank, cinema, etc.) [Noun] 2. roadside restaurant; rest stop"
捕らえる,とらえる,JLPT N2,"[Ichidan verb, Transitive verb] 1. to seize; to capture; to arrest 2. to grasp; to perceive; to treat (as) | Other forms: 捕える 【とらえる】、捉える 【とらえる】"
トラブル,トラブル,JLPT N1,[Noun] 1. trouble
トランジスタ,トランジスタ,JLPT N1,[Noun] 1. electrical transistor | Other forms: トランジスター
取りあえず,とりあえず,JLPT N1,[Adverb] 1. first of all; at once; right away {Usually written using kana alone} 2. for now; for the time being {Usually written using kana alone} | Other forms: 取り敢えず 【とりあえず】、取敢えず 【とりあえず】
取り扱い,とりあつかい,JLPT N1,[Noun] 1. treatment; service; handling; management | Other forms: 取扱い 【とりあつかい】、取り扱 【とりあつかい】、取扱 【とりあつかい】
取り扱う,とりあつかう,JLPT N1,"[Godan verb with u ending, Transitive verb] 1. to handle; to operate (a machine, etc.); to use 2. to deal with (an issue); to manage 3. to treat (someone); to deal with (someone) 4. to deal in; to carry; to sell | Other forms: 取扱う 【とりあつかう】"
鳥居,とりい,JLPT N1,[Noun] 1. torii; Shinto shrine archway
取り替え,とりかえ,JLPT N1,[Noun] 1. swap; exchange | Other forms: 取替 【とりかえ】
取り組む,とりくむ,JLPT N1,"[Godan verb with mu ending, intransitive verb] 1. to tackle; to wrestle with; to engage in a bout; to come to grips with; to make effort; to strive for; to deal with | Other forms: 取組む 【とりくむ】、取っ組む 【とっくむ】、取組む 【とっくむ】"
取り締まる,とりしまる,JLPT N1,"[Godan verb with ru ending, Transitive verb] 1. to manage; to control; to supervise; to crack down on | Other forms: 取締る 【とりしまる】、取締まる 【とりしまる】"
取り調べる,とりしらべる,JLPT N1,"[Ichidan verb, Transitive verb] 1. to investigate; to examine | Other forms: 取調べる 【とりしらべる】"
取り立てる,とりたてる,JLPT N1,"[Ichidan verb, Transitive verb] 1. to collect (debts); to dun; to exact; to extort 2. to appoint; to promote; to give patronage 3. to emphasize; to focus on; to call attention to {See also 取り立てて} | Other forms: 取立てる 【とりたてる】、取りたてる 【とりたてる】"
取り除く,とりのぞく,JLPT N1,"[Godan verb with ku ending, Transitive verb] 1. to remove; to deinstall; to take away; to set apart | Other forms: 取除く 【とりのぞく】、とり除く 【とりのぞく】、取りのぞく 【とりのぞく】"
取引,とりひき,JLPT N1,"[Noun, Suru verb] 1. transactions; dealings; business | Other forms: 取り引き 【とりひき】、取引き 【とりひき】"
取り混ぜる,とりまぜる,JLPT N1,"[Ichidan verb, Transitive verb] 1. to mix; to put together | Other forms: 取混ぜる 【とりまぜる】"
取り戻す,とりもどす,JLPT N1,"[Godan verb with su ending, Transitive verb] 1. to take back; to regain; to get back; to recover | Other forms: 取戻す 【とりもどす】、とり戻す 【とりもどす】"
ドリル,ドリル,JLPT N1,"[Noun] 1. drill bit; drill [Noun, Suru verb] 2. drill (practice) [Noun] 3. drill (Mandrillus leucophaeus) [Notes] ドリル: gai1, ichi1."
取り分け,とりわけ,JLPT N1,[Adverb] 1. especially; above all {Usually written using kana alone} 2. inter alia; among others | Other forms: 取分け 【とりわけ】、取分 【とりわけ】、取りわけ 【とりわけ】
何れ,どれ,JLPT N5,"[Pronoun, No-adjective] 1. which (of three or more) {Usually written using kana alone, See also 此れ, See also 其れ, See also 彼 あれ} 2. whichever; any {See also どれも, with a verb in 〜ても form} 3. well; now; let me see {See also どれどれ}"
何れ何れ,どれどれ,JLPT N1,"[Pronoun] 1. which {Usually written using kana alone, See also 何れ どれ, emphatic} 2. let me see; well now {Usually written using kana alone}"
蕩ける,とろける,JLPT N1,"[Ichidan verb, intransitive verb] 1. to melt (to a liquid) {Usually written using kana alone} 2. to be enchanted with; to be charmed; to be bewitched {Usually written using kana alone} | Other forms: 盪ける 【とろける】"
ど忘れ,どわすれ,JLPT N1,"[Noun, Suru verb] 1. lapse of memory; forgetting for a moment something one knows well; (something) slipping one's mind {See also 胴忘れ どうわすれ} | Other forms: 度忘れ 【どわすれ】、度忘 【どわすれ】、ド忘れ 【ドわすれ】 [Notes] 度忘: Irregular okurigana usage."
鈍感,どんかん,JLPT N1,"[Na-adjective, Noun] 1. thickheaded; insensitive; dull; thick-skinned"
とんだ,とんだ,JLPT N1,[Pre-noun adjectival] 1. unthinkable; unimaginable; inconceivable; unexpected 2. terrible; awful; serious [Adverb] 3. very {Archaism}
問屋,とんや,JLPT N1,[Noun] 1. wholesale store | Other forms: 問屋 【といや】
問屋,とんや,JLPT N1,[Noun] 1. wholesale store | Other forms: 問屋 【といや】
内閣,ないかく,JLPT N1,"[Noun, No-adjective] 1. cabinet; (government) ministry"
乃至,ないし,JLPT N1,[Conjunction] 1. from ... to; between ... and {Usually written using kana alone} 2. or {Usually written using kana alone}
内臓,ないぞう,JLPT N1,"[Noun, No-adjective] 1. internal organs; intestines; viscera"
ナイター,ナイター,JLPT N1,"[Noun] 1. game under lights (e.g. baseball); night game {Wasei, word made in Japan, From English “nighter”. Wasei (word made in Japan)}"
内部,ないぶ,JLPT N1,"[Noun, No-adjective] 1. interior; inside; internal"
内陸,ないりく,JLPT N1,"[Noun, No-adjective] 1. inland [Notes] ないりく: ichi1, news1, nf12. 内陸: ichi1, news1, nf12."
尚,なお,JLPT N1,"[Adverb, Conjunction] 1. furthermore; still; yet; more; still more; in addition; greater; further {Usually written using kana alone} | Other forms: 猶 【なお】 [Notes] 猶: Out-dated kanji."
尚更,なおさら,JLPT N1,"[Adverb] 1. still more; even more; all the more {Usually written using kana alone} 2. still less; even less {Usually written using kana alone, with neg. verb} | Other forms: なお更 【なおさら】、尚さら 【なおさら】、猶更 【なおさら】、猶さら 【なおさら】 [Notes] 猶更: Out-dated kanji. 猶さら: Out-dated kanji."
流し,ながし,JLPT N1,[Noun] 1. sink [No-adjective] 2. cruising (e.g. taxi)
流し,ながし,JLPT N1,[Noun] 1. sink [No-adjective] 2. cruising (e.g. taxi)
長々,ながなが,JLPT N1,"[Adverb taking the 'to' particle, Adverb] 1. long; drawn-out; very long | Other forms: 長長 【ながなが】、永永 【ながなが】、永々 【ながなが】"
中ほど,なかほど,JLPT N1,[Noun] 1. (about) middle; midway | Other forms: 中程 【なかほど】
中指,なかゆび,JLPT N2,[Noun] 1. middle finger; long finger; second finger; tall finger 2. middle toe; third toe | Other forms: 中指 【ちゅうし】
殴る,なぐる,JLPT N2,"[Godan verb with ru ending, Transitive verb] 1. to strike; to hit; to beat; to punch | Other forms: 擲る 【なぐる】、撲る 【なぐる】"
嘆く,なげく,JLPT N1,"[Godan verb with ku ending, Transitive verb, intransitive verb] 1. to lament; to grieve; to regret [Godan verb with ku ending, Transitive verb] 2. to deplore | Other forms: 歎く 【なげく】"
投げ出す,なげだす,JLPT N1,"[Godan verb with su ending, Transitive verb] 1. to throw down; to throw out; to stretch out (one's legs) 2. to abandon; to resign 3. to give freely; to give generously; to sacrifice (e.g. one's life) 4. to start to throw"
仲人,なこうど,JLPT N1,[Noun] 1. matchmaker {esp. なこうど} 2. go-between; intermediary; middleman; mediator; intercessor {esp. ちゅうにん} | Other forms: 媒人 【なこうど】、媒 【なこうど】、仲人 【ちゅうにん】
和やか,なごやか,JLPT N1,"[Na-adjective, Noun] 1. mild; calm; gentle; quiet; harmonious"
名残,なごり,JLPT N1,[Noun] 1. remains; traces; vestiges; relics 2. (the sorrow of) parting 3. end | Other forms: 名残り 【なごり】 [Notes] 名残り: Irregular okurigana usage.
情け,なさけ,JLPT N1,[Noun] 1. pity; sympathy; compassion; mercy {See also 御情け} 2. affection
情け深い,なさけぶかい,JLPT N1,[I-adjective] 1. tender-hearted; compassionate; charitable; good-hearted | Other forms: 情深い 【なさけぶかい】
為さる,なさる,JLPT N4,"[Godan verb - aru special class, Transitive verb] 1. to do {Honorific or respectful (sonkeigo), Usually written using kana alone}"
詰る,なじる,JLPT N1,"[Godan verb with ru ending, Transitive verb] 1. to rebuke; to scold; to tell off {Usually written using kana alone}"
何故,なぜ,JLPT N5,[Adverb] 1. why; how {Usually written using kana alone} | Other forms: 何故 【なにゆえ】、何ゆえ 【なにゆえ】
何故なら,なぜなら,JLPT N3,[Conjunction] 1. because; the reason is; if you want to know why {Usually written using kana alone}
雪崩,なだれ,JLPT N1,[Noun] 1. avalanche; snowslide
懐く,なつく,JLPT N1,"[Godan verb with ku ending, Transitive verb] 1. to become emotionally attached {Usually written using kana alone, See also 懐かしい} | Other forms: 懐く 【なずく】、懐く 【なづく】 [Notes] なずく: Out-dated or obsolete kana usage. なづく: Out-dated or obsolete kana usage."
名付ける,なづける,JLPT N1,"[Ichidan verb, Transitive verb] 1. to name; to call; to christen; to term | Other forms: 名づける 【なづける】"
何しろ,なにしろ,JLPT N2,"[Adverb] 1. at any rate; anyhow; anyway; in any case; because; as you know; for you see {Usually written using kana alone, See also 何せ}"
何卒,なにとぞ,JLPT N1,"[Adverb] 1. please; kindly; I beg of you; if it pleases you {Humble (kenjougo), See also どうぞ} 2. by all means; without fail {See also どうぞ} | Other forms: 何とぞ 【なにとぞ】、何卒 【なにそつ】 [Notes] なにそつ: Irregular kana usage."
何も,なにも,JLPT N3,"[Expression, Adverb] 1. nothing (with neg. verbs); not any 2. and everything else (with noun plus ""mo""); all"
何より,なにより,JLPT N1,"[Expression, No-adjective, Adverb, Noun] 1. most; best; above all"
七日,なのか,JLPT N5,[Adverbial noun] 1. the seventh day of the month 2. seven days | Other forms: 七日 【なぬか】、７日 【なのか】、７日 【なぬか】
ナプキン,ナプキン,JLPT N1,[Noun] 1. (table) napkin; serviette 2. sanitary napkin; sanitary pad | Other forms: ナフキン [Notes] ナプキン: gai1.
名札,なふだ,JLPT N1,[Noun] 1. name plate; name tag; label
名札,なふだ,JLPT N1,[Noun] 1. name plate; name tag; label
生臭い,なまぐさい,JLPT N1,[I-adjective] 1. smelling of fish; fishy; smelling of blood; bloody 2. degenerate (of a monk); depraved; corrupt; fallen 3. worldly; mundane; secular; common; ordinary 4. fishy; suspicious; questionable | Other forms: 腥い 【なまぐさい】
生ぬるい,なまぬるい,JLPT N1,[I-adjective] 1. lukewarm; halfhearted | Other forms: 生温い 【なまぬるい】
生身,なまみ,JLPT N1,"[Noun, No-adjective] 1. living flesh; flesh and blood 2. physical body of Buddha or a bodhisattva {Buddhist term, Only applies to しょうじん} | Other forms: 生身 【しょうじん】"
鉛,なまり,JLPT N1,[Noun] 1. lead (Pb)
滑らか,なめらか,JLPT N1,[Na-adjective] 1. smooth (e.g. skin or ground); glassy; velvety 2. fluent; smooth (speaking); without a hitch | Other forms: 滑らか 【すべらか】、滑か 【なめらか】、滑か 【すべらか】 [Notes] 滑か: Irregular okurigana usage. 滑か: Irregular okurigana usage.
舐める,なめる,JLPT N1,"[Ichidan verb, Transitive verb] 1. to lick 2. to taste 3. to experience (esp. a hardship) 4. to make fun of; to make light of; to put down; to treat with contempt; to underestimate | Other forms: 嘗める 【なめる】、甞める 【なめる】"
悩ましい,なやましい,JLPT N1,[I-adjective] 1. seductive; carnal; enchanting 2. troubling; difficult; thorny; hard 3. anxious; uneasy
悩ます,なやます,JLPT N1,"[Godan verb with su ending, Transitive verb] 1. to afflict; to torment; to harass; to molest"
悩み,なやみ,JLPT N1,[Noun] 1. trouble; troubles; worry; distress; sorrows; anguish; agony; problem
倣う,ならう,JLPT N2,"[Godan verb with u ending, intransitive verb] 1. to imitate; to follow; to emulate {Usually written using kana alone} | Other forms: 傚う 【ならう】、慣らう 【ならう】"
慣らす,ならす,JLPT N1,"[Godan verb with su ending, Transitive verb] 1. to accustom; to train (e.g. one's ear) {esp. 慣らす} 2. to tame; to domesticate; to train (e.g. an animal) {esp. 馴らす} | Other forms: 馴らす 【ならす】"
慣らす,ならす,JLPT N1,"[Godan verb with su ending, Transitive verb] 1. to accustom; to train (e.g. one's ear) {esp. 慣らす} 2. to tame; to domesticate; to train (e.g. an animal) {esp. 馴らす} | Other forms: 馴らす 【ならす】"
馴らす,ならす,JLPT N1,"[Godan verb with su ending, Transitive verb] 1. to domesticate; to tame"
成り立つ,なりたつ,JLPT N1,"[Godan verb with tsu ending, intransitive verb, Transitive verb] 1. to consist of; to be made up of; to be composed of 2. to be practical (logical, feasible, viable); to be concluded; to hold true | Other forms: 成立つ 【なりたつ】"
成る丈,なるたけ,JLPT N1,[Adverb] 1. as much as possible; if possible {Usually written using kana alone} | Other forms: 成るたけ 【なるたけ】、成る丈 【なるだけ】
慣れ,なれ,JLPT N1,"[Noun, Suru verb] 1. practice; practising; experience"
馴れ馴れしい,なれなれしい,JLPT N1,[I-adjective] 1. over-familiar | Other forms: 馴々しい 【なれなれしい】
難,なん,JLPT N1,"[Noun, Noun - used as a suffix] 1. difficulty; trouble; hardship 2. accident; disaster; danger 3. fault; defect 4. criticism"
難,なん,JLPT N1,"[Noun, Noun - used as a suffix] 1. difficulty; trouble; hardship 2. accident; disaster; danger 3. fault; defect 4. criticism"
なんか,なんか,JLPT N1,"[Expression, Suffix] 1. things like ...; or something like that ... (often derogatory)"
ナンセンス,ナンセンス,JLPT N1,"[Na-adjective, Noun] 1. nonsense | Other forms: ノンセンス"
何だか,なんだか,JLPT N1,[Adverb] 1. (a) little; somewhat; somehow {Usually written using kana alone}
何だか,なんだか,JLPT N1,[Adverb] 1. (a) little; somewhat; somehow {Usually written using kana alone}
何だかんだ,なんだかんだ,JLPT N1,[Adverb] 1. something or other; one thing or another; this or that {Usually written using kana alone} | Other forms: 何だ彼だ 【なんだかんだ】、何だかだ 【なんだかだ】、何だ彼だ 【なんだかだ】
何て,なんて,JLPT N1,"[Noun or verb acting prenominally, Adverb] 1. how ..!; what ..! {Usually written using kana alone} 2. what (questioning)"
何と,なんと,JLPT N1,[Adverb] 1. what; how; whatever
何となく,なんとなく,JLPT N2,[Adverb] 1. somehow or other; for some reason or another; vaguely {Usually written using kana alone} | Other forms: 何となく 【なにとなく】、何と無く 【なんとなく】、何と無く 【なにとなく】
何とも,なんとも,JLPT N2,[Adverb] 1. quite; really; very; extremely 2. nothing; not a bit; not at all {with neg. verb} | Other forms: 何とも 【なにとも】
何なり,なんなり,JLPT N1,[Noun] 1. any; anything; whatever
荷,に,JLPT N1,[Noun] 1. load; baggage; cargo; freight; goods 2. burden; responsibility
似通う,にかよう,JLPT N1,"[Godan verb with u ending, intransitive verb] 1. to resemble closely"
似通う,にかよう,JLPT N1,"[Godan verb with u ending, intransitive verb] 1. to resemble closely"
面皰,にきび,JLPT N1,[Noun] 1. pimple; acne {Usually written using kana alone} | Other forms: 面皰 【めんぽう】、ニキビ
面皰,にきび,JLPT N1,[Noun] 1. pimple; acne {Usually written using kana alone} | Other forms: 面皰 【めんぽう】、ニキビ
賑わう,にぎわう,JLPT N1,"[Godan verb with u ending, intransitive verb] 1. to be crowded with people; to be bustling with 2. to prosper; to flourish; to do thriving business"
憎い,にくい,JLPT N2,[I-adjective] 1. hateful; abominable; poor-looking; detestable 2. amazing; fantastic; admirable; lovely; wonderful {often with irony} | Other forms: 悪い 【にくい】
憎しみ,にくしみ,JLPT N1,[Noun] 1. hatred
肉体,にくたい,JLPT N1,"[Noun, No-adjective] 1. the body; the flesh"
逃げ出す,にげだす,JLPT N1,[Godan verb with su ending] 1. to run away; to flee; to make off; to take to one's heels; to escape 2. to start to run away | Other forms: 逃げだす 【にげだす】、逃出す 【にげだす】、にげ出す 【にげだす】
西日,にしび,JLPT N1,[Noun] 1. westering sun; setting sun
偽物,にせもの,JLPT N1,"[Noun, No-adjective] 1. spurious article; forgery; counterfeit; imitation; sham | Other forms: 偽物 【にせもん】、贋物 【にせもの】、贋物 【にせもん】、にせ物 【にせもの】、にせ物 【にせもん】、贋物 【がんぶつ】、偽物 【ぎぶつ】、ニセ物 【ニセもの】、ニセ物 【ニセもん】、ニセモノ、ニセモン"
偽物,にせもの,JLPT N1,"[Noun, No-adjective] 1. spurious article; forgery; counterfeit; imitation; sham | Other forms: 偽物 【にせもん】、贋物 【にせもの】、贋物 【にせもん】、にせ物 【にせもの】、にせ物 【にせもん】、贋物 【がんぶつ】、偽物 【ぎぶつ】、ニセ物 【ニセもの】、ニセ物 【ニセもん】、ニセモノ、ニセモン"
荷造り,にづくり,JLPT N1,"[Noun, Suru verb] 1. packing; baling; crating | Other forms: 荷作り 【にづくり】、荷づくり 【にづくり】"
荷造り,にづくり,JLPT N1,"[Noun, Suru verb] 1. packing; baling; crating | Other forms: 荷作り 【にづくり】、荷づくり 【にづくり】"
日当,にっとう,JLPT N1,[Noun] 1. daily allowance; daily wages
鈍る,にぶる,JLPT N1,"[Godan verb with ru ending, intransitive verb] 1. to become blunt; to grow dull 2. to become less capable; to weaken; to falter | Other forms: 鈍る 【なまる】"
にも関わらず,にもかかわらず,JLPT N1,"[Expression, Conjunction] 1. in spite of; nevertheless; although; despite; no matter the; regardless of {Usually written using kana alone} | Other forms: にも拘らず 【にもかかわらず】、にも拘わらず 【にもかかわらず】、にも関らず 【にもかかわらず】、にも掛かわらず 【にもかかわらず】 [Notes] にも掛かわらず: Irregular kanji usage."
ニュー,ニュー,JLPT N1,[Noun] 1. new 2. newly purchased item {often おにゅー}
ニュアンス,ニュアンス,JLPT N1,"[Noun] 1. nuance {From French } [Notes] ニュアンス: gai1, ichi1."
入手,にゅうしゅ,JLPT N1,"[Noun, Suru verb] 1. acquisition; obtaining; coming to hand"
入賞,にゅうしょう,JLPT N1,"[Noun, Suru verb] 1. winning a prize or place (in a contest)"
入浴,にゅうよく,JLPT N1,[Noun] 1. bathing [Suru verb] 2. to bathe; to take a bath; to enter a bath
尿,にょう,JLPT N1,"[Noun] 1. urine {しい,しし, and しと were primarily children's words} | Other forms: 尿 【ゆばり】、尿 【いばり】、尿 【ゆまり】、尿 【ばり】、尿 【しい】、尿 【しし】、尿 【しと】 [Notes] ゆばり: Out-dated or obsolete kana usage. いばり: Out-dated or obsolete kana usage. ゆまり: Out-dated or obsolete kana usage. ばり: Out-dated or obsolete kana usage. しい: Out-dated or obsolete kana usage. しし: Out-dated or obsolete kana usage. しと: Out-dated or obsolete kana usage."
俄,にわか,JLPT N2,"[Na-adjective, No-adjective, Noun] 1. sudden; abrupt; unexpected; improvised; hasty; offhand {Usually written using kana alone} [Noun] 2. impromptu skit {Abbreviation, See also 俄狂言, sometimes 仁輪加 (ateji)} | Other forms: 俄か 【にわか】 [Notes] にわか: ichi1. 俄: ichi1. にわか: ichi1."
認識,にんしき,JLPT N1,"[Noun, Suru verb, No-adjective] 1. recognition; cognizance; cognisance; knowledge; realization; realisation; awareness; perception"
人情,にんじょう,JLPT N1,[Noun] 1. humanity; empathy; kindness; sympathy 2. human nature; common sense; customs and manners
妊娠,にんしん,JLPT N1,"[Noun, Suru verb, No-adjective] 1. conception; pregnancy"
任務,にんむ,JLPT N1,[Noun] 1. duty; function; office; mission; task
任命,にんめい,JLPT N1,"[Noun, Suru verb, No-adjective] 1. appointment; nomination; ordination; commission; designation"
抜け出す,ぬけだす,JLPT N1,"[Godan verb with su ending, intransitive verb] 1. to slip out; to sneak away; to excel 2. to break (out of a loop) {Computer terminology} | Other forms: 抜けだす 【ぬけだす】、脱け出す 【ぬけだす】"
盗み,ぬすみ,JLPT N1,[Noun] 1. stealing
盗み,ぬすみ,JLPT N1,[Noun] 1. stealing
沼,ぬま,JLPT N1,"[Noun, Noun - used as a suffix] 1. swamp; bog; pond; lake"
値打ち,ねうち,JLPT N1,"[Noun, Suru verb] 1. value; worth; price; dignity | Other forms: 値打 【ねうち】、値うち 【ねうち】"
ネガ,ネガ,JLPT N1,[Noun] 1. (photographic) negative
寝かせる,ねかせる,JLPT N1,"[Ichidan verb, Transitive verb] 1. to put to bed 2. to lay down lengthwise; to put a thing on its side 3. to set something aside unused; to let lie idle 4. to ferment; to lay down (wine)"
螺子,ねじ,JLPT N2,"[Noun] 1. screw {Usually written using kana alone, See also 螺旋} 2. key (of a clock, watch, etc.); spring (of a clock, watch, etc.) | Other forms: 捻子 【ねじ】、捩子 【ねじ】、螺旋 【ねじ】、螺子 【らし】、ネジ"
捩れる,ねじれる,JLPT N1,"[Ichidan verb, intransitive verb] 1. to twist; to wrench; to screw {Usually written using kana alone} | Other forms: 捻れる 【ねじれる】、拗れる 【ねじれる】、捻じれる 【ねじれる】、捩じれる 【ねじれる】"
鼠,ねずみ,JLPT N3,"[Noun] 1. mouse; rat {Usually written using kana alone} 2. dark gray; dark grey; slate (color, colour) {See also 鼠色} | Other forms: 鼠 【ねず】、ネズミ"
妬む,ねたむ,JLPT N1,"[Godan verb with mu ending, Transitive verb] 1. to be jealous of; to envy; to begrudge {Usually written using kana alone} | Other forms: 嫉む 【ねたむ】、妬む 【そねむ】、嫉む 【そねむ】、猜む 【そねむ】"
強請る,ねだる,JLPT N1,"[Godan verb with ru ending, Transitive verb] 1. to beg; to pester; to plead; to coax; to hound; to importune {Usually written using kana alone}"
熱湯,ねっとう,JLPT N1,"[Noun, No-adjective] 1. boiling water"
熱湯,ねっとう,JLPT N1,"[Noun, No-adjective] 1. boiling water"
熱湯,ねっとう,JLPT N1,"[Noun, No-adjective] 1. boiling water"
熱湯,ねっとう,JLPT N1,"[Noun, No-adjective] 1. boiling water"
熱量,ねつりょう,JLPT N1,[Noun] 1. calorific value; quantity of heat; calorie
粘る,ねばる,JLPT N1,"[Godan verb with ru ending, intransitive verb] 1. to be sticky; to be adhesive 2. to persevere; to persist; to stick to; to hold out; to linger [Notes] ねばる: ichi1, news2, nf38. 粘る: ichi1, news2, nf38."
値引き,ねびき,JLPT N1,"[Noun, Suru verb] 1. price reduction; discount | Other forms: 値引 【ねびき】"
根回し,ねまわし,JLPT N1,"[Noun, Suru verb] 1. making necessary arrangements; laying the groundwork 2. digging around the roots of a tree (before transplanting)"
眠たい,ねむたい,JLPT N1,[I-adjective] 1. sleepy; drowsy | Other forms: 眠たい 【ねぶたい】、睡たい 【ねむたい】、睡たい 【ねぶたい】
念,ねん,JLPT N1,[Noun] 1. sense; idea; thought; feeling {esp. 〜の念} 2. desire; concern 3. attention; care {esp. 念に〜、念の／が〜}
年鑑,ねんかん,JLPT N1,[Noun] 1. yearbook; almanac; annual
年号,ねんごう,JLPT N1,"[Noun] 1. name of an era; year number [Notes] ねんごう: ichi1, news2, nf25. 年号: ichi1, news2, nf25."
燃焼,ねんしょう,JLPT N1,"[Noun, Suru verb] 1. burning; combustion"
年生,ねんせい,JLPT N1,[Noun - used as a suffix] 1. pupil in ... year; student in ... year
燃料,ねんりょう,JLPT N1,[Noun] 1. fuel
年輪,ねんりん,JLPT N1,"[Noun] 1. annual tree ring [Notes] ねんりん: ichi1, news2, nf26. 年輪: ichi1, news2, nf26."
ノイローゼ,ノイローゼ,JLPT N1,[Noun] 1. neurosis; nervous breakdown; mental problem; identity crisis; obsession {From German “Neurose”}
脳,のう,JLPT N1,[Noun] 1. brain 2. brains; mind
農耕,のうこう,JLPT N1,"[Noun] 1. farming; agriculture [Notes] のうこう: ichi1, news1, nf21. 農耕: ichi1, news1, nf21."
農場,のうじょう,JLPT N1,[Noun] 1. farm (agriculture) [Place] 2. Noujou
農地,のうち,JLPT N1,[Noun] 1. agricultural land; farmland
農地,のうち,JLPT N1,[Noun] 1. agricultural land; farmland
納入,のうにゅう,JLPT N1,"[Noun, Suru verb] 1. payment (taxes, fees, etc.) 2. supply (of goods); delivery"
逃す,のがす,JLPT N1,"[Godan verb with su ending, Transitive verb] 1. to miss (e.g. a chance); to lose; to let get away 2. to set free; to let go {See also 逃がす} [Auxiliary verb] 3. to fail to ... {after the -masu stem of a verb} | Other forms: 遁す 【のがす】"
逃れる,のがれる,JLPT N1,"[Ichidan verb, intransitive verb] 1. to escape | Other forms: 遁れる 【のがれる】"
軒並み,のきなみ,JLPT N1,"[Noun] 1. row of houses; every door [Adverbial noun, Noun] 2. totally; altogether; across the board | Other forms: 軒並 【のきなみ】"
鋸,のこぎり,JLPT N2,"[Noun] 1. saw {Usually written using kana alone} 2. musical saw {Usually written using kana alone} [Place] 3. Nokogiri | Other forms: ノコギリ [Notes] のこぎり: ichi1, news2, nf40. 鋸: ichi1, news2, nf40."
望ましい,のぞましい,JLPT N1,[I-adjective] 1. desirable; hoped for; preferable; advisable
望ましい,のぞましい,JLPT N1,[I-adjective] 1. desirable; hoped for; preferable; advisable
乗っ取る,のっとる,JLPT N1,"[Godan verb with ru ending, Transitive verb] 1. to take over; to capture; to seize; to commandeer; to occupy; to usurp 2. to hijack (a vehicle) | Other forms: 乗っとる 【のっとる】"
長閑,のどか,JLPT N1,[Na-adjective] 1. tranquil; calm; quiet; peaceful {Usually written using kana alone}
罵る,ののしる,JLPT N1,"[Godan verb with ru ending, Transitive verb] 1. to abuse (verbally); to curse at; to shout abuse at; to speak ill of"
延べ,のべ,JLPT N1,"[Noun] 1. futures 2. credit (buying) 3. stretching [Prefix] 4. total (preceding counter, unit, etc.); aggregate; gross"
飲み込む,のみこむ,JLPT N1,"[Godan verb with mu ending, Transitive verb] 1. to gulp down; to swallow deeply 2. to understand; to take in; to catch on to; to learn; to digest 3. to engulf; to swallow up 4. to be filled with (people); to be crowded 5. to hold back from saying something; to swallow (one's words) | Other forms: 呑み込む 【のみこむ】、飲みこむ 【のみこむ】、呑みこむ 【のみこむ】、のみ込む 【のみこむ】、飲込む 【のみこむ】、呑込む 【のみこむ】 [Notes] のみこむ: ichi1, news2, nf40. 飲み込む: ichi1. のみこむ: ichi1, news2, nf40. 呑み込む: news2, nf40. のみこむ: ichi1, news2, nf40. のみこむ: ichi1, news2, nf40. のみこむ: ichi1, news2, nf40. のみこむ: ichi1, news2, nf40. のみこむ: ichi1, news2, nf40."
乗り換え,のりかえ,JLPT N2,"[Noun, Suru verb] 1. transfer (trains, buses, etc.); connection; connexion 2. switching (stock) {Economics term} 3. chromosomal crossover; crossing over {Biology term} [Wikipedia definition] 4. Transfer | Other forms: 乗換 【のりかえ】、乗換え 【のりかえ】、乗りかえ 【のりかえ】、乗り替え 【のりかえ】、乗替え 【のりかえ】"
乗り込む,のりこむ,JLPT N1,"[Godan verb with mu ending, intransitive verb] 1. to board; to embark on; to get into (a car); to man (a ship); to help (someone) into 2. to march into; to enter | Other forms: 乗りこむ 【のりこむ】、乗込む 【のりこむ】"
刃,は,JLPT N1,[Noun] 1. edge (of a knife or sword) 2. prong (of an electrical plug)
派,は,JLPT N1,"[Noun, Noun - used as a suffix] 1. clique; faction; school"
バー,バー,JLPT N1,[Noun] 1. bar 2. VAR [Place] 3. Wah (Pakistan) [Notes] バー: gai1.
把握,はあく,JLPT N1,"[Noun, Suru verb] 1. grasp; catch; understanding"
肺,はい,JLPT N1,[Noun] 1. lung
肺,はい,JLPT N1,[Noun] 1. lung
廃棄,はいき,JLPT N1,"[Noun, Suru verb] 1. disposal; abandonment; scrapping; discarding; abolition 2. annulment; cancellation; abrogation; repeal"
配給,はいきゅう,JLPT N1,"[Noun, Suru verb, No-adjective] 1. distribution (e.g. films, rice) 2. rationing (e.g. food, gasoline) 3. food ration"
ばい菌,ばいきん,JLPT N1,[Noun] 1. germ; germs; bacteria; mold; mould {Colloquialism} 2. something harmful; vermin {used figuratively} | Other forms: 黴菌 【ばいきん】、バイ菌 【バイきん】
