相変わらず,あいかわらず
渇く,かわく
為替,かわせ
瓦,かわら
替わる,かわる
間隔,かんかく
換気,かんき
感激,かんげき
関西,かんさい
鑑賞,かんしょう
感ずる,かんずる
間接,かんせつ
感想,かんそう
観測,かんそく
寒帯,かんたい
勘違い,かんちがい
官庁,かんちょう
缶詰,かんづめ
乾電池,かんでんち
関東,かんとう
観念,かんねん
乾杯,かんぱい
看板,かんばん
看病,かんびょう
冠,かんむり
漢和,かんわ
気圧,きあつ
機械,きかい
着替え,きがえ
機関車,きかんしゃ
飢饉,ききん
器具,きぐ
期限,きげん
記号,きごう
刻む,きざむ
儀式,ぎしき
基準,きじゅん
基準,きじゅん
起床,きしょう
着せる,きせる
基礎,きそ
気体,きたい
基地,きち
基地,きち
切っ掛け,きっかけ
ぎっしり,ぎっしり
基盤,きばん
客席,きゃくせき
ギャング,ギャング
キャンパス,キャンパス
休業,きゅうぎょう
休業,きゅうぎょう
休講,きゅうこう
休息,きゅうそく
給与,きゅうよ
休養,きゅうよう
清い,きよい
強化,きょうか
行事,ぎょうじ
恐縮,きょうしゅく
教養,きょうよう
行列,ぎょうれつ
漁業,ぎょぎょう
漁業,ぎょぎょう
曲線,きょくせん
規律,きりつ
斬る,きる
気を付ける,きをつける
金魚,きんぎょ
クーラー,クーラー
区域,くいき
偶数,ぐうすう
空想,くうそう
空想,くうそう
空中,くうちゅう
釘,くぎ
区切る,くぎる
区切る,くぎる
櫛,くし
嚏,くしゃみ
苦情,くじょう
苦心,くしん
屑,くず
崩す,くずす
薬指,くすりゆび
崩れる,くずれる
砕く,くだく
砕ける,くだける
草臥れる,くたびれる
下らない,くだらない
下る,くだる
唇,くちびる
口紅,くちべに
くっ付く,くっつく
くっ付ける,くっつける
諄い,くどい
諄い,くどい
句読点,くとうてん
配る,くばる
工夫,くふう
区分,くぶん
汲む,くむ
酌む,くむ
悔しい,くやしい
悔やむ,くやむ
クリーニング,クリーニング
咥える,くわえる
郡,ぐん
稽古,けいこ
敬語,けいご
敬語,けいご
蛍光灯,けいこうとう
形式,けいしき
継続,けいぞく
毛糸,けいと
経度,けいど
系統,けいとう
芸能,げいのう
競馬,けいば
警備,けいび
形容詞,けいようし
形容動詞,けいようどうし
外科,げか
毛皮,けがわ
激増,げきぞう
下車,げしゃ
下旬,げじゅん
下旬,げじゅん
下水,げすい
下水,げすい
削る,けずる
削る,けずる
桁,けた
下駄,げた
血圧,けつあつ
血液,けつえき
月給,げっきゅう
傑作,けっさく
月末,げつまつ
けど,けど
気配,けはい
下品,げひん
煙い,けむい
蹴る,ける
険しい,けわしい
見学,けんがく
謙虚,けんきょ
原稿,げんこう
原産,げんさん
原始,げんし
研修,けんしゅう
厳重,げんじゅう
謙遜,けんそん
県庁,けんちょう
限度,げんど
現に,げんに
顕微鏡,けんびきょう
原理,げんり
原料,げんりょう
碁,ご
コース,コース
コーラス,コーラス
恋しい,こいしい
請う,こう
工員,こういん
強引,ごういん
高級,こうきゅう
公共,こうきょう
工芸,こうげい
孝行,こうこう
交差,こうさ
講師,こうし
工事,こうじ
公式,こうしき
口実,こうじつ
斯うして,こうして
校舎,こうしゃ
公衆,こうしゅう
香水,こうすい
公正,こうせい
功績,こうせき
光線,こうせん
高層,こうそう
構造,こうぞう
交代,こうたい
耕地,こうち
交通機関,こうつうきかん
校庭,こうてい
高度,こうど
高等,こうとう
合同,ごうどう
後輩,こうはい
公表,こうひょう
鉱物,こうぶつ
公務,こうむ
項目,こうもく
紅葉,こうよう
合理,ごうり
交流,こうりゅう
合流,ごうりゅう
効力,こうりょく
越える,こえる
焦がす,こがす
国王,こくおう
国籍,こくせき
国立,こくりつ
ご苦労さま,ごくろうさま
焦げる,こげる
凍える,こごえる
心当たり,こころあたり
心得る,こころえる
腰掛け,こしかけ
腰掛ける,こしかける
五十音,ごじゅうおん
胡椒,こしょう
拵える,こしらえる
越す,こす
擦る,こする
個体,こたい
ご馳走,ごちそう
ご馳走さま,ごちそうさま
こちらこそ,こちらこそ
小遣い,こづかい
コック,コック
こっそり,こっそり
古典,こてん
琴,こと
言付ける,ことづける
言葉遣い,ことばづかい
此間,こないだ
ご無沙汰,ごぶさた
ご無沙汰,ごぶさた
零す,こぼす
零れる,こぼれる
塵,ごみ
護謨,ゴム
御免,ごめん
ご免ください,ごめんください
小指,こゆび
娯楽,ごらく
御覧,ごらん
コレクション,コレクション
転がす,ころがす
転がる,ころがる
紺,こん
コンクール,コンクール
混凝土,こんくりいと
混合,こんごう
コンセント,コンセント
今晩は,こんばんは
サークル,サークル
在学,ざいがく
再三,さいさん
祭日,さいじつ
催促,さいそく
採点,さいてん
災難,さいなん
裁縫,さいほう
材木,ざいもく
サイレン,サイレン
逆さま,さかさま
探す,さがす
遡る,さかのぼる
酒場,さかば
先ほど,さきほど
裂く,さく
索引,さくいん
作者,さくしゃ
削除,さくじょ
作成,さくせい
作製,さくせい
探る,さぐる
囁く,ささやく
刺さる,ささる
匙,さじ
座敷,ざしき
差し引き,さしひき
刺身,さしみ
刺す,さす
挿す,さす
注す,さす
流石,さすが
撮影,さつえい
雑音,ざつおん
早速,さっそく
錆,さび
錆びる,さびる
座布団,ざぶとん
冷ます,さます
妨げる,さまたげる
左様なら,さようなら
再来月,さらいげつ
再来週,さらいしゅう
再来年,さらいねん
サラリーマン,サラリーマン
騒がしい,さわがしい
爽やか,さわやか
三角,さんかく
算数,さんすう
酸性,さんせい
産地,さんち
サンプル,サンプル
山林,さんりん
シーズン,シーズン
シーツ,シーツ
しーん,しーん
仕上がる,しあがる
明々後日,しあさって
寺院,じいん
自衛,じえい
司会,しかい
四角,しかく
四角い,しかくい
時間割,じかんわり
四季,しき
敷地,しきち
敷地,しきち
至急,しきゅう
敷く,しく
敷く,しく
茂る,しげる
持参,じさん
磁石,じしゃく
四捨五入,ししゃごにゅう
始終,しじゅう
自習,じしゅう
静まる,しずまる
姿勢,しせい
自然科学,しぜんかがく
時速,じそく
時速,じそく
子孫,しそん
死体,したい
下町,したまち
自治,じち
実感,じっかん
湿気,しっけ
しつこい,しつこい
実績,じっせき
湿度,しつど
執筆,しっぴつ
尻尾,しっぽ
実用,じつよう
実力,じつりょく
実例,じつれい
失恋,しつれん
私鉄,してつ
児童,じどう
縛る,しばる
地盤,じばん
痺れる,しびれる
紙幣,しへい
萎む,しぼむ
絞る,しぼる
縞,しま
地味,じみ
地味,じみ
沁み沁み,しみじみ
氏名,しめい
締め切り,しめきり
締め切る,しめきる
湿る,しめる
ジャーナリスト,ジャーナリスト
社会科学,しゃかいかがく
しゃがむ,しゃがむ
蛇口,じゃぐち
弱点,じゃくてん
車庫,しゃこ
車掌,しゃしょう
車掌,しゃしょう
写生,しゃせい
社説,しゃせつ
吃逆,しゃっくり
シャッター,シャッター
しゃぶる,しゃぶる
車輪,しゃりん
洒落,しゃれ
じゃん拳,じゃんけん
集会,しゅうかい
集金,しゅうきん
集合,しゅうごう
習字,しゅうじ
修繕,しゅうぜん
絨毯,じゅうたん
終点,しゅうてん
重点,じゅうてん
周辺,しゅうへん
重役,じゅうやく
終了,しゅうりょう
終了,しゅうりょう
重量,じゅうりょう
重力,じゅうりょく
熟語,じゅくご
祝日,しゅくじつ
縮小,しゅくしょう
縮小,しゅくしょう
受験,じゅけん
主語,しゅご
出勤,しゅっきん
述語,じゅつご
出張,しゅっちょう
寿命,じゅみょう
主役,しゅやく
受話器,じゅわき
循環,じゅんかん
巡査,じゅんさ
順々,じゅんじゅん
順序,じゅんじょ
純情,じゅんじょう
純粋,じゅんすい
消化,しょうか
小学生,しょうがくせい
小学生,しょうがくせい
仕様が無い,しようがない
将棋,しょうぎ
蒸気,じょうき
定規,じょうぎ
上級,じょうきゅう
商業,しょうぎょう
消極的,しょうきょくてき
消極的,しょうきょくてき
賞金,しょうきん
上下,じょうげ
障子,しょうじ
商社,しょうしゃ
乗車,じょうしゃ
上旬,じょうじゅん
小数,しょうすう
生ずる,しょうずる
商店,しょうてん
消毒,しょうどく
勝敗,しょうはい
蒸発,じょうはつ
賞品,しょうひん
勝負,しょうぶ
小便,しょうべん
消防署,しょうぼうしょ
正味,しょうみ
醤油,しょうゆ
省略,しょうりゃく
初級,しょきゅう
助教授,じょきょうじゅ
食塩,しょくえん
職人,しょくにん
初旬,しょじゅん
書籍,しょせき
食器,しょっき
ショップ,ショップ
書店,しょてん
書道,しょどう
白髪,しらが
シリーズ,シリーズ
知り合い,しりあい
私立,しりつ
汁,しる
芯,しん
新幹線,しんかんせん
真空,しんくう
心身,しんしん
信ずる,しんずる
人造,じんぞう
診断,しんだん
侵入,しんにゅう
人文科学,じんぶんかがく
人命,じんめい
人命,じんめい
深夜,しんや
森林,しんりん
親類,しんるい
針路,しんろ
神話,しんわ
酢,す
水産,すいさん
炊事,すいじ
炊事,すいじ
水蒸気,すいじょうき
水素,すいそ
垂直,すいちょく
水滴,すいてき
水滴,すいてき
水筒,すいとう
随筆,ずいひつ
水分,すいぶん
水平,すいへい
水平線,すいへいせん
水曜,すいよう
図々しい,ずうずうしい
末っ子,すえっこ
スカーフ,スカーフ
図鑑,ずかん
図鑑,ずかん
杉,すぎ
好き嫌い,すききらい
好き好き,すきずき
透き通る,すきとおる
隙間,すきま
スクール,スクール
少なくとも,すくなくとも
図形,ずけい
スケジュール,スケジュール
涼む,すずむ
スタート,スタート
スチュワーデス,スチュワーデス
すっきり,すっきり
ずっと,ずっと
酸っぱい,すっぱい
ステージ,ステージ
捨てる,すてる
ストッキング,ストッキング
ストップ,ストップ
素直,すなお
頭脳,ずのう
スピーカー,スピーカー
図表,ずひょう
滑る,すべる
スマート,スマート
住まい,すまい
済まない,すまない
墨,すみ
澄む,すむ
相撲,すもう
スライド,スライド
滑らす,ずらす
ずらり,ずらり
掏摸,すり
刷る,する
狡い,ずるい
すれ違う,すれちがう
寸法,すんぽう
姓,せい
税関,ぜいかん
制作,せいさく
製作,せいさく
性質,せいしつ
清書,せいしょ
青少年,せいしょうねん
清掃,せいそう
生存,せいぞん
生長,せいちょう
政党,せいとう
生年月日,せいねんがっぴ
整備,せいび
整備,せいび
性別,せいべつ
正方形,せいほうけい
正門,せいもん
成立,せいりつ
成立,せいりつ
西暦,せいれき
背負う,せおう
赤道,せきどう
折角,せっかく
接近,せっきん
石鹸,せっけん
接する,せっする
せっせと,せっせと
接続,せつぞく
瀬戸物,せともの
是非とも,ぜひとも
迫る,せまる
ゼミ,ゼミ
攻め手,せめて
攻める,せめる
セメント,セメント
栓,せん
前後,ぜんご
洗剤,せんざい
全身,ぜんしん
扇子,せんす
専制,せんせい
先々月,せんせんげつ
先先週,せんせんしゅう
先祖,せんぞ
センチ,センチ
宣伝,せんでん
宣伝,せんでん
先頭,せんとう
全般,ぜんぱん
扇風機,せんぷうき
線路,せんろ
相違,そうい
そう言えば,そういえば
雑巾,ぞうきん
増減,ぞうげん
倉庫,そうこ
相互,そうご
創作,そうさく
葬式,そうしき
然うして,そうして
騒々しい,そうぞうしい
増大,ぞうだい
送別,そうべつ
草履,ぞうり
総理大臣,そうりだいじん
属する,ぞくする
続々,ぞくぞく
速達,そくたつ
測定,そくてい
測量,そくりょう
速力,そくりょく
素質,そしつ
祖先,そせん
そそっかしい,そそっかしい
率直,そっちょく
そっと,そっと
備える,そなえる
その上,そのうえ
その頃,そのころ
その為,そのため
その他,そのほか
蕎麦,そば
剃る,そる
剃る,そる
夫れ夫れ,それぞれ
それなのに,それなのに
逸れる,それる
揃う,そろう
揃える,そろえる
揃える,そろえる
算盤,そろばん
存じる,ぞんじる
存ずる,ぞんずる
損得,そんとく
タイア,タイア
ダイアグラム,ダイアグラム
退院,たいいん
大学院,だいがくいん
大工,だいく
体系,たいけい
体系,たいけい
太鼓,たいこ
対策,たいさく
大して,たいして
対照,たいしょう
対照,たいしょう
大小,だいしょう
体操,たいそう
大層,たいそう
大分,だいぶ
大木,たいぼく
代名詞,だいめいし
ダイヤモンド,ダイヤモンド
ダイヤル,ダイヤル
対立,たいりつ
田植え,たうえ
絶えず,たえず
耐える,たえる
楕円,だえん
高める,たかめる
耕す,たがやす
滝,たき
炊く,たく
焚く,たく
蓄える,たくわえる
竹,たけ
助かる,たすかる
只,ただ
但し,ただし
畳む,たたむ
立ち止まる,たちどまる
忽ち,たちまち
建つ,たつ
立つ,たつ
脱線,だっせん
脱線,だっせん
妥当,だとう
例える,たとえる
頼もしい,たのもしい
頼もしい,たのもしい
足袋,たび
ダブル,ダブル
騙す,だます
溜まる,たまる
ダム,ダム
ため息,ためいき
躊躇う,ためらう
だらし無い,だらしない
足る,たる
段階,だんかい
短期,たんき
炭鉱,たんこう
短所,たんしょ
箪笥,たんす
淡水,たんすい
断水,だんすい
断水,だんすい
単数,たんすう
団地,だんち
断定,だんてい
断定,だんてい
短編,たんぺん
田んぼ,たんぼ
誓う,ちかう
地下水,ちかすい
地下水,ちかすい
近々,ちかぢか
近づける,ちかづける
近寄る,ちかよる
力強い,ちからづよい
千切る,ちぎる
地質,ちしつ
知人,ちじん
知人,ちじん
地帯,ちたい
縮む,ちぢむ
縮める,ちぢめる
縮れる,ちぢれる
チップ,チップ
地点,ちてん
地名,ちめい
茶色い,ちゃいろい
着々,ちゃくちゃく
茶碗,ちゃわん
中間,ちゅうかん
中旬,ちゅうじゅん
抽象,ちゅうしょう
中世,ちゅうせい
中性,ちゅうせい
中途,ちゅうと
中年,ちゅうねん
チョーク,チョーク
超過,ちょうか
超過,ちょうか
彫刻,ちょうこく
長所,ちょうしょ
調整,ちょうせい
調節,ちょうせつ
長短,ちょうたん
頂点,ちょうてん
長男,ちょうなん
長方形,ちょうほうけい
調味料,ちょうみりょう
直後,ちょくご
直線,ちょくせん
直通,ちょくつう
直流,ちょくりゅう
貯蔵,ちょぞう
直角,ちょっかく
直径,ちょっけい
散らかす,ちらかす
散らかる,ちらかる
散らす,ちらす
ちり紙,ちりがみ
散る,ちる
追加,ついか
序,ついで
通貨,つうか
通勤,つうきん
通ずる,つうずる
通知,つうち
通知,つうち
通帳,つうちょう
通訳,つうやく
通用,つうよう
通路,つうろ
付き合う,つきあう
突き当たり,つきあたり
突き当たる,つきあたる
月日,つきひ
点く,つく
突く,つく
突く,つく
次ぐ,つぐ
作る,つくる
付ける,つける
漬ける,つける
点ける,つける
伝わる,つたわる
突っ込む,つっこむ
包む,つつむ
努める,つとめる
勤める,つとめる
綱,つな
繋がり,つながり
繋がる,つながる
繋げる,つなげる
粒,つぶ
潰す,つぶす
潰れる,つぶれる
躓く,つまずく
詰まる,つまる
積む,つむ
爪,つめ
艶,つや
強気,つよき
釣り合う,つりあう
吊る,つる
吊るす,つるす
テーマ,テーマ
出合い,であい
手洗い,てあらい
定員,ていいん
定員,ていいん
定員,ていいん
低下,ていか
定価,ていか
定価,ていか
定期券,ていきけん
定休日,ていきゅうび
停止,ていし
停車,ていしゃ
停車,ていしゃ
出入り,でいり
出入り,でいり
出入り口,でいりぐち
出入り口,でいりぐち
手入れ,ていれ
出かける,でかける
出来上がり,できあがり
出来上がる,できあがる
的確,てきかく
手首,てくび
凸凹,でこぼこ
出鱈目,でたらめ
手帳,てちょう
鉄橋,てっきょう
鉄砲,てっぽう
鉄砲,てっぽう
テニスコート,テニスコート
手ぬぐい,てぬぐい
手前,てまえ
出迎え,でむかえ
照らす,てらす
照る,てる
展開,てんかい
伝記,でんき
電球,でんきゅう
点数,てんすう
点数,てんすう
伝染,でんせん
電池,でんち
電柱,でんちゅう
点々,てんてん
転々,てんてん
天皇,てんのう
電波,でんぱ
テンポ,テンポ
電流,でんりゅう
電力,でんりょく
問い合わせ,といあわせ
問い合わせ,といあわせ
銅,どう
統一,とういつ
同格,どうかく
峠,とうげ
統計,とうけい
統計,とうけい
動作,どうさ
東西,とうざい
投書,とうしょ
登場,とうじょう
どうせ,どうせ
どうぞ宜しく,どうぞよろしく
灯台,とうだい
盗難,とうなん
当番,とうばん
等分,とうぶん
灯油,とうゆ
東洋,とうよう
童話,どうわ
通りかかる,とおりかかる
溶かす,とかす
尖る,とがる
ドキドキ,ドキドキ
溶く,とく
退く,どく
特殊,とくしゅ
特色,とくしょく
特長,とくちょう
特定,とくてい
特売,とくばい
溶け込む,とけこむ
溶ける,とける
床の間,とこのま
床屋,とこや
所々,ところどころ
所々,ところどころ
都心,としん
都心,としん
戸棚,とだな
疾っくに,とっくに
どっと,どっと
整う,ととのう
止まる,とどまる
怒鳴る,どなる
飛び込む,とびこむ
飛ぶ,とぶ
止まる,とまる
泊める,とめる
捕らえる,とらえる
取り入れる,とりいれる
取り消す,とりけす
取り出す,とりだす
捕る,とる
トレーニング,トレーニング
丼,どんぶり
内科,ないか
内科,ないか
ナイロン,ナイロン
治す,なおす
長い,ながい
仲直り,なかなおり
長引く,ながびく
中身,なかみ
中指,なかゆび
仲良し,なかよし
慰める,なぐさめる
無くす,なくす
殴る,なぐる
為す,なす
謎々,なぞなぞ
謎々,なぞなぞ
傾らか,なだらか
懐かしい,なつかしい
撫でる,なでる
何しろ,なにしろ
何々,なになに
何分,なにぶん
生意気,なまいき
並木,なみき
並木,なみき
鳴らす,ならす
生る,なる
慣れる,なれる
南極,なんきょく
何とも,なんとも
ナンバー,ナンバー
南米,なんべい
南北,なんぼく
煮える,にえる
煮える,にえる
匂う,におう
逃がす,にがす
逃がす,にがす
憎い,にくい
憎む,にくむ
憎らしい,にくらしい
ニコニコ,ニコニコ
濁る,にごる
虹,にじ
日時,にちじ
日用品,にちようひん
日用品,にちようひん
日課,にっか
日課,にっか
日程,にってい
鈍い,にぶい
女房,にょうぼう
女房,にょうぼう
睨む,にらむ
煮る,にる
俄,にわか
俄,にわか
縫う,ぬう
滑る,ぬめる
濡らす,ぬらす
螺子,ねじ
捩る,ねじる
ネックレス,ネックレス
熱する,ねっする
寝巻き,ねまき
狙い,ねらい
狙い,ねらい
狙う,ねらう
年度,ねんど
農産物,のうさんぶつ
農村,のうそん
濃度,のうど
農薬,のうやく
能率,のうりつ
退ける,のける
鋸,のこぎり
残らず,のこらず
乗せる,のせる
覗く,のぞく
伸ばす,のばす
伸びる,のびる
上り,のぼり
上る,のぼる
乗り換え,のりかえ
載る,のる
のろのろ,のろのろ
呑気,のんき
灰色,はいいろ
俳句,はいく
拝見,はいけん
売店,ばいてん
売店,ばいてん
バイバイ,バイバイ
売買,ばいばい
這う,はう
生える,はえる
剥がす,はがす
秤,はかり
計る,はかる
吐き気,はきけ
はきはき,はきはき
掃く,はく
掃く,はく
歯車,はぐるま
バケツ,バケツ
挟まる,はさまる
挟む,はさむ
箸,はし
梯子,はしご
初めに,はじめに
初めまして,はじめまして
斜,はす
外れる,はずれる
パターン,パターン
肌着,はだぎ
果たして,はたして
果たして,はたして
鉢,はち
発揮,はっき
バック,バック
発射,はっしゃ
発射,はっしゃ
発想,はっそう
発電,はつでん
×,ばってん
発売,はつばい
発売,はつばい
派手,はで
話し合い,はなしあい
話しかける,はなしかける
話し中,はなしちゅう
甚だしい,はなはだしい
花火,はなび
花嫁,はなよめ
放れる,はなれる
羽,はね
発条,ばね
跳ねる,はねる
破片,はへん
歯磨き,はみがき
嵌める,はめる
早口,はやくち
流行る,はやる
払い込む,はらいこむ
払い戻す,はらいもどす
バランス,バランス
針金,はりがね
張り切る,はりきる
反映,はんえい
半径,はんけい
判子,はんこ
万歳,ばんざい
判事,はんじ
反省,はんせい
番地,ばんち
パンツ,パンツ
バンド,バンド
半島,はんとう
ハンドル,ハンドル
日当たり,ひあたり
比較的,ひかくてき
日陰,ひかげ
ピカピカ,ピカピカ
引き受ける,ひきうける
引き返す,ひきかえす
引き算,ひきざん
引き出す,ひきだす
引き止める,ひきとめる
卑怯,ひきょう
引き分け,ひきわけ
髭,ひげ
肘,ひじ
ピストル,ピストル
ビタミン,ビタミン
ぴたり,ぴたり
引っかかる,ひっかかる
筆記,ひっき
ひっくり返す,ひっくりかえす
ひっくり返る,ひっくりかえる
引っ越し,ひっこし
引っ込む,ひっこむ
必需品,ひつじゅひん
人差し指,ひとさしゆび
一通り,ひととおり
人通り,ひとどおり
瞳,ひとみ
一休み,ひとやすみ
独り言,ひとりごと
独りでに,ひとりでに
ビニール,ビニール
皮肉,ひにく
日日,ひにち
捻る,ひねる
日の入り,ひのいり
日の出,ひので
響き,ひびき
響く,ひびく
皮膚,ひふ
百科事典,ひゃっかじてん
美容,びよう
表紙,ひょうし
標識,ひょうしき
標準,ひょうじゅん
平仮名,ひらがな
ビルディング,ビルディング
昼寝,ひるね
広げる,ひろげる
広さ,ひろさ
広場,ひろば
広める,ひろめる
ピンク,ピンク
便箋,びんせん
瓶詰め,びんづめ
ファスナー,ファスナー
風船,ふうせん
不運,ふうん
増える,ふえる
深まる,ふかまる
不規則,ふきそく
付近,ふきん
拭く,ふく
副詞,ふくし
複写,ふくしゃ
複数,ふくすう
含める,ふくめる
膨らむ,ふくらむ
不潔,ふけつ
更ける,ふける
符号,ふごう
夫妻,ふさい
塞がる,ふさがる
塞ぐ,ふさぐ
巫山戯る,ふざける
無沙汰,ぶさた
武士,ぶし
部首,ぶしゅ
襖,ふすま
付属,ふぞく
付属,ふぞく
蓋,ふた
不通,ふつう
打つかる,ぶつかる
打付ける,ぶつける
物騒,ぶっそう
ぶつぶつ,ぶつぶつ
船便,ふなびん
部品,ぶひん
吹雪,ふぶき
父母,ふぼ
踏切,ふみきり
麓,ふもと
増やす,ふやす
フライパン,フライパン
ブラウス,ブラウス
