相変わらず,あいかわらず
ぶら下げる,ぶらさげる
ブラシ,ブラシ
プラスチック,プラスチック
プラットホーム,プラットホーム
フリー,フリー
振り仮名,ふりがな
プリント,プリント
振る舞う,ふるまう
ブローチ,ブローチ
プログラム,プログラム
風呂敷,ふろしき
フワフワ,フワフワ
噴火,ふんか
分解,ぶんかい
分解,ぶんかい
文芸,ぶんげい
文献,ぶんけん
噴水,ふんすい
分数,ぶんすう
文体,ぶんたい
分布,ぶんぷ
文房具,ぶんぼうぐ
文脈,ぶんみゃく
分量,ぶんりょう
分類,ぶんるい
平気,へいき
並行,へいこう
並行,へいこう
平日,へいじつ
兵隊,へいたい
平野,へいや
凹む,へこむ
臍,へそ
隔てる,へだてる
別荘,べっそう
別々,べつべつ
ベテラン,ベテラン
ヘリコプター,ヘリコプター
減る,へる
ペン,ペン
編集,へんしゅう
便所,べんじょ
ペンチ,ペンチ
ボーナス,ボーナス
望遠鏡,ぼうえんきょう
方角,ほうがく
箒,ほうき
方言,ほうげん
坊さん,ぼうさん
防止,ぼうし
方針,ほうしん
包装,ほうそう
法則,ほうそく
包帯,ほうたい
包丁,ほうちょう
方程式,ほうていしき
方程式,ほうていしき
防犯,ぼうはん
方面,ほうめん
坊や,ぼうや
放る,ほうる
朗らか,ほがらか
牧場,ぼくじょう
牧畜,ぼくちく
保健,ほけん
干す,ほす
ポスター,ポスター
北極,ほっきょく
解く,ほどく
堀,ほり
彫る,ほる
掘る,ほる
襤褸,ぼろ
盆地,ぼんち
本来,ほんらい
まあまあ,まあまあ
枚数,まいすう
毎度,まいど
マイナス,マイナス
巻く,まく
撒く,まく
蒔く,まく
枕,まくら
曲げる,まげる
まごまご,まごまご
摩擦,まさつ
混ざる,まざる
混じる,まじる
マスク,マスク
混ぜる,まぜる
跨ぐ,またぐ
又は,または
待合室,まちあいしつ
待ち合わせる,まちあわせる
街角,まちかど
真っ暗,まっくら
真っ黒,まっくろ
真っ黒,まっくろ
真っ青,まっさお
真っ先,まっさき
真っ先,まっさき
真っ白,まっしろ
真っ白,まっしろ
祭る,まつる
纏まる,まとまる
纏める,まとめる
真似る,まねる
眩しい,まぶしい
瞼,まぶた
マフラー,マフラー
間もなく,まもなく
マラソン,マラソン
丸い,まるい
稀,まれ
回り道,まわりみち
満員,まんいん
マンション,マンション
満点,まんてん
見送る,みおくる
見下ろす,みおろす
見かけ,みかけ
三日月,みかづき
岬,みさき
惨め,みじめ
ミシン,ミシン
店屋,みせや
見出し,みだし
見つかる,みつかる
見つける,みつける
見っともない,みっともない
見直す,みなおす
見慣れる,みなれる
醜い,みにくい
実る,みのる
身分,みぶん
見本,みほん
見舞う,みまう
未満,みまん
名字,みょうじ
ミリ,ミリ
診る,みる
民謡,みんよう
向かう,むかう
剥く,むく
無限,むげん
無地,むじ
蒸し暑い,むしあつい
矛盾,むじゅん
蒸す,むす
無数,むすう
紫,むらさき
群れ,むれ
メーター,メーター
姪,めい
名作,めいさく
名刺,めいし
名詞,めいし
名所,めいしょ
迷信,めいしん
命ずる,めいずる
名物,めいぶつ
銘々,めいめい
目上,めうえ
恵まれる,めぐまれる
巡る,めぐる
目指す,めざす
目覚まし,めざまし
目下,めした
目印,めじるし
目立つ,めだつ
目茶苦茶,めちゃくちゃ
めっきり,めっきり
メニュー,メニュー
目眩,めまい
目安,めやす
免税,めんぜい
面積,めんせき
面接,めんせつ
面接,めんせつ
面倒くさい,めんどくさい
モーター,モーター
儲かる,もうかる
儲ける,もうける
申し訳ない,もうしわけない
木材,もくざい
目次,もくじ
潜る,もぐる
若しかしたら,もしかしたら
若しかすると,もしかすると
凭れる,もたれる
モダン,モダン
勿体ない,もったいない
モデル,モデル
元々,もともと
物置,ものおき
物指,ものさし
物凄い,ものすごい
モノレール,モノレール
揉む,もむ
催し,もよおし
盛る,もる
問答,もんどう
喧しい,やかましい
夜間,やかん
薬缶,やかん
役者,やくしゃ
役所,やくしょ
訳す,やくす
役人,やくにん
薬品,やくひん
火傷,やけど
夜行,やこう
矢印,やじるし
薬局,やっきょく
遣っ付ける,やっつける
矢っ張り,やっぱり
家主,やぬし
破く,やぶく
破れる,やぶれる
やむを得ない,やむをえない
柔らかい,やわらかい
遊園地,ゆうえんち
夕刊,ゆうかん
友好,ゆうこう
郵送,ゆうそう
夕立,ゆうだち
夕日,ゆうひ
夕日,ゆうひ
悠々,ゆうゆう
有料,ゆうりょう
有料,ゆうりょう
浴衣,ゆかた
湯気,ゆげ
輸血,ゆけつ
輸血,ゆけつ
輸送,ゆそう
油断,ゆだん
茹でる,ゆでる
湯のみ,ゆのみ
緩い,ゆるい
溶岩,ようがん
容器,ようき
用語,ようご
用語,ようご
要旨,ようし
幼児,ようじ
容積,ようせき
幼稚,ようち
幼稚,ようち
幼稚園,ようちえん
用途,ようと
洋品店,ようひんてん
養分,ようぶん
羊毛,ようもう
漸く,ようやく
要領,ようりょう
欲張り,よくばり
欲張り,よくばり
余計,よけい
寄越す,よこす
汚す,よごす
寄せる,よせる
余所,よそ
四つ角,よつかど
酔っ払い,よっぱらい
呼びかける,よびかける
呼び出す,よびだす
因る,よる
喜び,よろこび
喜ぶ,よろこぶ
来日,らいにち
落第,らくだい
ラッシュアワー,ラッシュアワー
欄,らん
ランチ,ランチ
ランニング,ランニング
乱暴,らんぼう
リズム,リズム
リットル,リットル
リボン,リボン
略す,りゃくす
流域,りゅういき
寮,りょう
両側,りょうがわ
両側,りょうがわ
漁師,りょうし
領事,りょうじ
領収,りょうしゅう
例外,れいがい
零点,れいてん
冷凍,れいとう
レインコート,レインコート
レクリエーション,レクリエーション
レジャー,レジャー
列島,れっとう
レベル,レベル
レポート,レポート
煉瓦,れんが
連合,れんごう
レンズ,レンズ
ローマ字,ローマじ
ローンチ,ローンチ
蝋燭,ろうそく
録音,ろくおん
ロッカー,ロッカー
ロビー,ロビー
論ずる,ろんずる
和英,わえい
分かる,わかる
分かれる,わかれる
若々しい,わかわかしい
湧く,わく
詫びる,わびる
和服,わふく
割合に,わりあいに
割り算,わりざん
割と,わりと
割引,わりびき
椀,わん
碗,わん
ワンピース,ワンピース
