其れに,それに
それ程,それほど
そろそろ,そろそろ
そんな,そんな
そんなに,そんなに
退院,たいいん
大学生,だいがくせい
大事,だいじ
大体,だいたい
大抵,たいてい
タイプ,タイプ
大分,だいぶ
台風,たいふう
倒れる,たおれる
だから,だから
確か,たしか
足す,たす
尋ねる,たずねる
訪ねる,たずねる
正しい,ただしい
畳,たたみ
建てる,たてる
立てる,たてる
例えば,たとえば
棚,たな
楽しみ,たのしみ
楽しむ,たのしむ
偶に,たまに
為,ため
足りる,たりる
男性,だんせい
暖房,だんぼう
血,ち
チェック,チェック
力,ちから
些とも,ちっとも
ちゃん,ちゃん
注意,ちゅうい
中学校,ちゅうがっこう
注射,ちゅうしゃ
駐車場,ちゅうしゃじょう
地理,ちり
捕まえる,つかまえる
付く,つく
漬ける,つける
都合,つごう
伝える,つたえる
続く,つづく
続ける,つづける
包む,つつむ
妻,つま
端,つま
積もり,つもり
釣る,つる
丁寧,ていねい
テキスト,テキスト
適当,てきとう
手伝う,てつだう
テニス,テニス
手袋,てぶくろ
寺,てら
点,てん
店員,てんいん
天気予報,てんきよほう
電灯,でんとう
電報,でんぽう
展覧会,てんらんかい
都,と
道具,どうぐ
到頭,とうとう
動物園,どうぶつえん
遠く,とおく
通る,とおる
特に,とくに
特別,とくべつ
床屋,とこや
途中,とちゅう
特急,とっきゅう
届ける,とどける
泊まる,とまる
止める,とめる
取り替える,とりかえる
泥棒,どろぼう
どんどん,どんどん
治す,なおす
治る,なおる
泣く,なく
亡くなる,なくなる
無くなる,なくなる
投げる,なげる
為さる,なさる
鳴る,なる
成るべく,なるべく
なる程,なるほど
慣れる,なれる
苦い,にがい
二階建て,にかいだて
逃げる,にげる
日記,にっき
入院,にゅういん
入学,にゅうがく
似る,にる
人形,にんぎょう
盗む,ぬすむ
塗る,ぬる
濡れる,ぬれる
値段,ねだん
熱,ねつ
寝坊,ねぼう
眠い,ねむい
眠る,ねむる
残る,のこる
乗り換える,のりかえる
乗り物,のりもの
葉,は
パート,パート
場合,ばあい
倍,ばい
拝見,はいけん
歯医者,はいしゃ
運ぶ,はこぶ
始める,はじめる
場所,ばしょ
筈,はず
恥ずかしい,はずかしい
パソコン,パソコン
発音,はつおん
はっきり,はっきり
花見,はなみ
林,はやし
払う,はらう
番組,ばんぐみ
反対,はんたい
ハンドバッグ,ハンドバッグ
日,ひ
火,ひ
ピアノ,ピアノ
冷える,ひえる
光,ひかり
光,ひかり
光る,ひかる
引き出し,ひきだし
引き出す,ひきだす
髭,ひげ
飛行場,ひこうじょう
久しぶり,ひさしぶり
美術館,びじゅつかん
非常に,ひじょうに
引っ越す,ひっこす
必要,ひつよう
酷い,ひどい
開く,ひらく
ビル,ビル
昼間,ひるま
昼休み,ひるやすみ
拾う,ひろう
ファックス,ファックス
増える,ふえる
深い,ふかい
複雑,ふくざつ
復習,ふくしゅう
部長,ぶちょう
普通,ふつう
葡萄,ぶどう
太る,ふとる
布団,ふとん
船,ふね
不便,ふべん
踏む,ふむ
降り出す,ふりだす
プレゼント,プレゼント
文化,ぶんか
文学,ぶんがく
文法,ぶんぽう
別,べつ
ベル,ベル
変,へん
返事,へんじ
貿易,ぼうえき
法律,ほうりつ
僕,ぼく
星,ほし
殆ど,ほとんど
褒める,ほめる
翻訳,ほんやく
参る,まいる
負ける,まける
又は,または
間違える,まちがえる
間に合う,まにあう
周り,まわり
回る,まわる
漫画,まんが
真ん中,まんなか
見える,みえる
湖,みずうみ
味噌,みそ
見つかる,みつかる
見つける,みつける
港,みなと
皆,みんな
向かう,むかう
迎える,むかえる
昔,むかし
